session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,1000,0.8,0.33075622686684625,3074,0.0540457587639369,0.07839947950553025
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,2000,0.8,0.33075622686684625,1947,0.07944734867915124,0.12840267077555212
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,5000,0.8,0.33075622686684625,1004,0.14707229521682544,0.23306772908366533
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,10000,0.8,0.33075622686684625,627,0.2626040470651094,0.34290271132376393
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,30000,0.8,0.33075622686684625,309,0.4431834060748567,0.511326860841424
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,1000,0.9,0.44852834352759896,1600,0.09054532627209273,0.106875
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,2000,0.9,0.44852834352759896,1029,0.13829671636500918,0.17006802721088435
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,5000,0.9,0.44852834352759896,569,0.2519793695949698,0.29173989455184535
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,10000,0.9,0.44852834352759896,383,0.37264070321680515,0.402088772845953
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,30000,0.9,0.44852834352759896,224,0.5115455693897379,0.5803571428571429
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,1000,0.95,0.5454764002248423,848,0.13201842756248935,0.13679245283018868
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,2000,0.95,0.5454764002248423,565,0.194827674656852,0.21415929203539824
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,5000,0.95,0.5454764002248423,338,0.32734409269781856,0.35798816568047337
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,10000,0.95,0.5454764002248423,243,0.483306823882973,0.4691358024691358
20260905T073818Z_e44d99bd,WE,BTC,gap_localOFI,30000,0.95,0.5454764002248423,166,0.6101574591901248,0.5963855421686747
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,1000,0.8,0.33075622686684625,979,0.15304923015898614,0.16138917262512767
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,2000,0.8,0.33075622686684625,823,0.1893250471184641,0.212636695018226
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,5000,0.8,0.33075622686684625,593,0.27472149278790803,0.3136593591905565
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,10000,0.8,0.33075622686684625,439,0.3714595495890742,0.4123006833712984
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,30000,0.8,0.33075622686684625,258,0.6175138550249716,0.562015503875969
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,1000,0.9,0.44852834352759896,547,0.21188811797268245,0.18647166361974407
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,2000,0.9,0.44852834352759896,464,0.275282741612355,0.2521551724137931
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,5000,0.9,0.44852834352759896,352,0.38062094299279425,0.3721590909090909
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,10000,0.9,0.44852834352759896,269,0.46456611323613284,0.46096654275092935
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,30000,0.9,0.44852834352759896,186,0.6173762374662775,0.6075268817204301
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,1000,0.95,0.5454764002248423,308,0.32144102684328524,0.24025974025974026
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,2000,0.95,0.5454764002248423,264,0.4120184194530036,0.32575757575757575
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,5000,0.95,0.5454764002248423,209,0.522874866609161,0.45454545454545453
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,10000,0.95,0.5454764002248423,172,0.6482501395371809,0.5348837209302325
20260905T073818Z_e44d99bd,WE,BTC,gap_localTrade,30000,0.95,0.5454764002248423,131,0.7745382741791917,0.6335877862595419
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,1000,0.8,0.0063944198618978015,4918,0.046132639307941294,0.07543716958113054
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,2000,0.8,0.0063944198618978015,3265,0.05651620674939966,0.1111791730474732
20260905T073818Z_e44d99bd,WE,BTC,leader1000_extOFI,5000,0.8,0.0063944198618978015,1917,0.10357498036941926,0.19092331768388107
