session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,1000,0.8,0.014173882185171108,12064,0.01894422381689677,0.0,0.04285477453580902,0.04576018053641833
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,2000,0.8,0.014173882185171108,7529,0.02190655231092586,0.0,0.06800371895338027,0.07975220482004808
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,5000,0.8,0.014173882185171108,3630,0.04313490483827823,0.0,0.12396694214876033,0.16648354716975128
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,10000,0.8,0.014173882185171108,1969,0.03669991887754992,0.0,0.1797866937531742,0.2975942019678619
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,30000,0.8,0.014173882185171108,696,0.02371424021802502,0.0,0.3103448275862069,0.7206773850199355
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,100,0.9,0.033959699526107306,7940,0.01828917010526475,0.0,0.02455919395465995,0.019402305261497464
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,200,0.9,0.033959699526107306,7940,0.02124723638325347,0.0,0.030226700251889168,0.025054628836566194
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,500,0.9,0.033959699526107306,7940,0.026673037018272058,0.0,0.04370277078085642,0.040701534010438745
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,1000,0.9,0.033959699526107306,7940,0.03522852685438039,0.0,0.06423173803526448,0.06320194036094674
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,2000,0.9,0.033959699526107306,5532,0.04491107360416735,0.0,0.09255242227042661,0.09913772975798524
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,5000,0.9,0.033959699526107306,3037,0.06744021130828344,0.0,0.1465261771485018,0.19065876477397276
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,10000,0.9,0.033959699526107306,1752,0.10866041107091406,0.0,0.22317351598173515,0.3215231062098481
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,30000,0.9,0.033959699526107306,663,0.15802333992436698,0.0,0.3469079939668175,0.7309115174275008
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,100,0.95,0.06683840675863312,4812,0.03769086577003641,0.0,0.04821280133000831,0.038181164666264825
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,200,0.95,0.06683840675863312,4812,0.04125358122805327,0.0,0.05486284289276808,0.04538101948266685
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,500,0.95,0.06683840675863312,4812,0.05140250032098124,0.0,0.07231920199501247,0.06426570210434294
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,1000,0.95,0.06683840675863312,4812,0.06239223996566134,0.0,0.100166251039069,0.09406133350924092
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,2000,0.95,0.06683840675863312,3698,0.07800047117367048,0.0,0.136019469983775,0.13458145704145152
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,5000,0.95,0.06683840675863312,2307,0.12926256615019274,0.0,0.20156046814044212,0.23697438891216357
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,10000,0.95,0.06683840675863312,1471,0.1596281748102261,0.0,0.26580557443915703,0.36546429741740066
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,30000,0.95,0.06683840675863312,609,0.19658498035424984,0.0,0.36617405582922824,0.7762930471536782
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,100,0.8,1.0,17370,0.002647746364821397,0.0,0.005066206102475533,0.003907824245974343
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,200,0.8,1.0,17370,0.0037335987559082187,0.0,0.008117443868739206,0.007147221939966502
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,500,0.8,1.0,17369,0.005217497240558544,0.0,0.01773274224192527,0.017223237199657657
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,1000,0.8,1.0,17369,0.009870425839164178,0.0,0.030859577408025793,0.033068851159720546
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,2000,0.8,1.0,9633,0.01025696300682825,0.0,0.04962109415550711,0.062375795175576856
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,5000,0.8,1.0,4115,0.021830178677534694,0.0,0.10230862697448359,0.150690615482549
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,10000,0.8,1.0,2107,0.005832176394000956,0.0,0.15757000474608449,0.2779195255774147
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,30000,0.8,1.0,714,0.012064697607581736,0.0,0.3025210084033613,0.7086119724965056
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,100,0.9,1.0,17370,0.002647746364821397,0.0,0.005066206102475533,0.003907824245974343
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,200,0.9,1.0,17370,0.0037335987559082187,0.0,0.008117443868739206,0.007147221939966502
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,500,0.9,1.0,17369,0.005217497240558544,0.0,0.01773274224192527,0.017223237199657657
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,1000,0.9,1.0,17369,0.009870425839164178,0.0,0.030859577408025793,0.033068851159720546
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,2000,0.9,1.0,9633,0.01025696300682825,0.0,0.04962109415550711,0.062375795175576856
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,5000,0.9,1.0,4115,0.021830178677534694,0.0,0.10230862697448359,0.150690615482549
20260905T073818Z_e44d99bd,WE,BTC,external_trade_flow,10000,0.9,1.0,2107,0.005832176394000956,0.0,0.15757000474608449,0.2779195255774147
