session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,500,0.9,0.40440065940791486,3125,0.1558096461311411,0.0,0.23648,0.20037935185959305
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,1000,0.9,0.40440065940791486,3124,0.19721323943789495,0.0,0.3005761843790013,0.3052371233842936
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,2000,0.9,0.40440065940791486,2318,0.2531242783930381,0.0,0.39214840379637617,0.4503810120104637
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,5000,0.9,0.40440065940791486,1372,0.27148903193102103,0.0,0.4577259475218659,0.7912384827117295
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,10000,0.9,0.40440065940791486,819,0.26782160886277223,0.12711075350724244,0.5262515262515263,1.2081128985021927
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,30000,0.9,0.40440065940791486,324,0.430303655232877,0.39416509251655185,0.5462962962962963,2.212991636452944
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,100,0.95,0.8915727538998155,2000,0.09861635234221788,0.0,0.167,0.11394475310087526
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,200,0.95,0.8915727538998155,2000,0.14726563818592717,0.0,0.226,0.17196242183361243
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,500,0.95,0.8915727538998155,2000,0.19342341364198826,0.0,0.3,0.24794231041423698
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,1000,0.95,0.8915727538998155,2000,0.2494491467317955,0.0,0.3635,0.36253803814894686
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,2000,0.95,0.8915727538998155,1630,0.30718231455470324,0.0,0.4447852760736196,0.5036790235325609
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,5000,0.95,0.8915727538998155,1081,0.34250228338227223,0.012716069870410962,0.5041628122109159,0.8340536780262371
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,10000,0.95,0.8915727538998155,700,0.41236669139374116,0.2934903303819514,0.5557142857142857,1.31321481229956
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,30000,0.95,0.8915727538998155,300,0.36662172499158935,0.22913127957602253,0.5333333333333333,2.224584481649465
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,100,0.8,1.0,6024,0.045076121986692724,0.0,0.06523904382470119,0.05259538481318417
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,200,0.8,1.0,6024,0.05711026182599311,0.0,0.08698539176626827,0.077929066566366
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,500,0.8,1.0,6024,0.07371430765100238,0.0,0.13047808764940239,0.13457642382546017
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,1000,0.8,1.0,6024,0.08652600557321082,0.0,0.18144090305444888,0.22245104816133965
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,2000,0.8,1.0,3828,0.10313134722729499,0.0,0.25,0.36647959043519607
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,5000,0.8,1.0,1857,0.08469359551637042,0.0,0.35218093699515346,0.6999870048012885
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,10000,0.8,1.0,995,0.1976929801884759,0.0,0.4623115577889447,1.174468871883466
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,30000,0.8,1.0,350,0.21248485510661574,0.31198986543246043,0.5457142857142857,2.257229746348902
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,100,0.9,1.0,6024,0.045076121986692724,0.0,0.06523904382470119,0.05259538481318417
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,200,0.9,1.0,6024,0.05711026182599311,0.0,0.08698539176626827,0.077929066566366
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,500,0.9,1.0,6024,0.07371430765100238,0.0,0.13047808764940239,0.13457642382546017
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,1000,0.9,1.0,6024,0.08652600557321082,0.0,0.18144090305444888,0.22245104816133965
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,2000,0.9,1.0,3828,0.10313134722729499,0.0,0.25,0.36647959043519607
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,5000,0.9,1.0,1857,0.08469359551637042,0.0,0.35218093699515346,0.6999870048012885
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,10000,0.9,1.0,995,0.1976929801884759,0.0,0.4623115577889447,1.174468871883466
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,30000,0.9,1.0,350,0.21248485510661574,0.31198986543246043,0.5457142857142857,2.257229746348902
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,100,0.95,1.0,6024,0.045076121986692724,0.0,0.06523904382470119,0.05259538481318417
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,200,0.95,1.0,6024,0.05711026182599311,0.0,0.08698539176626827,0.077929066566366
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,500,0.95,1.0,6024,0.07371430765100238,0.0,0.13047808764940239,0.13457642382546017
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,1000,0.95,1.0,6024,0.08652600557321082,0.0,0.18144090305444888,0.22245104816133965
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,2000,0.95,1.0,3828,0.10313134722729499,0.0,0.25,0.36647959043519607
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,5000,0.95,1.0,1857,0.08469359551637042,0.0,0.35218093699515346,0.6999870048012885
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,10000,0.95,1.0,995,0.1976929801884759,0.0,0.4623115577889447,1.174468871883466
20260908T074322Z_1057297f,NEW12,BTC,bitget_trade_flow,30000,0.95,1.0,350,0.21248485510661574,0.31198986543246043,0.5457142857142857,2.257229746348902
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,100,0.8,0.8606469788226152,3393,0.08250296719228893,0.0,0.12879457707043915,0.08782313545528003
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,200,0.8,0.8606469788226152,3393,0.12012600268009407,0.0,0.18096080165045683,0.13440582546476873
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,500,0.8,0.8606469788226152,3393,0.18378751283610806,0.0,0.2673150604185087,0.21282595709434995
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,1000,0.8,0.8606469788226152,3392,0.2693103655910747,0.0,0.36350235849056606,0.32697427022573683
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,2000,0.8,0.8606469788226152,2194,0.37865699412155396,0.0,0.4822242479489517,0.5130269449634164
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,5000,0.8,0.8606469788226152,1236,0.5120993751215017,0.3569697529698379,0.5889967637540453,0.8695443328511627
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,10000,0.8,0.8606469788226152,759,0.5680777254683425,0.39334885157837896,0.5981554677206851,1.300154060528077
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,30000,0.8,0.8606469788226152,314,0.35405737644815755,0.21329243887702187,0.5477707006369427,2.21322206568724
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,100,0.9,0.9438838233787522,2019,0.1195314170282461,0.0,0.18424962852897475,0.1270988764750131
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,200,0.9,0.9438838233787522,2019,0.17259373399710498,0.0,0.2530955918771669,0.18292589353443314
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,500,0.9,0.9438838233787522,2019,0.25809176551040136,0.0,0.3481921743437345,0.27913250268627915
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,1000,0.9,0.9438838233787522,2019,0.36216116835846823,0.0,0.45121347201584944,0.4120282155713372
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,2000,0.9,0.9438838233787522,1461,0.4651068653906985,0.24116281091890457,0.5626283367556468,0.6000933999887741
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,5000,0.9,0.9438838233787522,932,0.6137608012329828,0.45949342131423876,0.6394849785407726,0.9446971406359793
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,10000,0.9,0.9438838233787522,622,0.7167319134869238,0.5461056269817632,0.6463022508038585,1.399039348197666
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,30000,0.9,0.9438838233787522,281,0.8903687806724152,0.8628636795937616,0.6298932384341637,2.4541393041759663
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,100,0.95,0.9823550120126909,1171,0.1630447350186501,0.0,0.2493595217762596,0.1733557502772171
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,200,0.95,0.9823550120126909,1171,0.23631051180230137,0.0,0.34244235695986336,0.24950209888183553
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,500,0.95,0.9823550120126909,1171,0.3317667164577948,0.0,0.4363791631084543,0.35213846746682465
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,1000,0.95,0.9823550120126909,1171,0.42771013319991746,0.12702388747731774,0.5277540563620837,0.4800127751258137
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,2000,0.95,0.9823550120126909,903,0.5592230623684183,0.39511006682979577,0.6400885935769657,0.6677945536296477
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,5000,0.95,0.9823550120126909,631,0.6998369954146596,0.558712067100231,0.6973058637083994,1.0322035690344158
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,10000,0.95,0.9823550120126909,475,0.799374726414227,0.6478218261340984,0.6968421052631579,1.4028267036731477
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l1,30000,0.95,0.9823550120126909,243,0.862192424278013,0.8500634058483669,0.6378600823045267,2.462638364134733
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,100,0.8,0.859026229055241,3338,0.07655056275909397,0.0,0.1201318154583583,0.08130455744803995
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,200,0.8,0.859026229055241,3338,0.11494232338790358,0.0,0.1719592570401438,0.12705346440062157
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,500,0.8,0.859026229055241,3338,0.17761750317106031,0.0,0.2516476932294787,0.20323184670753103
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,1000,0.8,0.859026229055241,3337,0.26647736682221945,0.0,0.3497153131555289,0.325199689676698
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,2000,0.8,0.859026229055241,2174,0.3783121533121675,0.0,0.4797608095676173,0.5128331962474985
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,5000,0.8,0.859026229055241,1209,0.5226668554693997,0.3696445357936895,0.5905707196029777,0.8787798399574034
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,10000,0.8,0.859026229055241,749,0.5881898179028453,0.4567893167117809,0.6114819759679573,1.3001267409457038
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,30000,0.8,0.859026229055241,311,0.23273234314093819,0.17785693823269,0.5241157556270096,2.2718183053932344
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,100,0.9,0.936741357784372,2023,0.12085931855551622,0.0,0.1819080573405833,0.12841181515612057
