session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,2000,0.9,0.6578680075813859,923,0.5388572583981559,0.5362946912242686
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,5000,0.9,0.6578680075813859,684,0.6460277034583587,0.6081871345029239
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,10000,0.9,0.6578680075813859,502,0.686036831674856,0.6115537848605578
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,30000,0.9,0.6578680075813859,252,0.7759495800892708,0.5634920634920635
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,1000,0.95,0.792020054783682,666,0.6564430728896071,0.5015015015015015
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,2000,0.95,0.792020054783682,581,0.7317230269124357,0.6006884681583476
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,5000,0.95,0.792020054783682,465,0.883159565503055,0.6451612903225806
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,10000,0.95,0.792020054783682,356,0.9346765672393117,0.6207865168539326
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,30000,0.95,0.792020054783682,211,1.1969657339759912,0.6445497630331753
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,1000,0.8,0.4956520929233488,1889,0.26540911269225764,0.32186341979883537
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,2000,0.8,0.4956520929233488,1376,0.3623514099134531,0.45276162790697677
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,5000,0.8,0.4956520929233488,875,0.5124257640339204,0.576
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,10000,0.8,0.4956520929233488,604,0.6885647584912294,0.6142384105960265
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,30000,0.8,0.4956520929233488,280,0.5466502844457425,0.5571428571428572
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,1000,0.9,0.6578680075813859,1005,0.35038005049140886,0.35124378109452736
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,2000,0.9,0.6578680075813859,774,0.44363689620293145,0.4780361757105943
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,5000,0.9,0.6578680075813859,548,0.588678429202206,0.5821167883211679
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,10000,0.9,0.6578680075813859,406,0.7852416616493858,0.6280788177339901
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,30000,0.9,0.6578680075813859,227,0.5965155844118808,0.5859030837004405
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,1000,0.95,0.792020054783682,544,0.47325179080068813,0.40441176470588236
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,2000,0.95,0.792020054783682,436,0.5994059136580919,0.518348623853211
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,5000,0.95,0.792020054783682,344,0.760476259787052,0.6075581395348837
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,10000,0.95,0.792020054783682,273,0.9499472521836871,0.6263736263736264
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localOFI,30000,0.95,0.792020054783682,180,0.9607752077625666,0.6333333333333333
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,1000,0.8,0.4956520929233488,768,0.6299272007752292,0.5221354166666666
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,2000,0.8,0.4956520929233488,653,0.7350421852303007,0.5926493108728943
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,5000,0.8,0.4956520929233488,518,0.8088312281865578,0.6640926640926641
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,10000,0.8,0.4956520929233488,398,0.9157573998698716,0.6532663316582915
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,30000,0.8,0.4956520929233488,225,0.8385837847634963,0.6
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,1000,0.9,0.6578680075813859,467,0.8257553626847933,0.5738758029978587
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,2000,0.9,0.6578680075813859,411,0.9047620434218987,0.6399026763990268
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,5000,0.9,0.6578680075813859,332,0.9634469332232313,0.6656626506024096
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,10000,0.9,0.6578680075813859,271,1.1933726938612104,0.6863468634686347
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,30000,0.9,0.6578680075813859,176,1.359972943536829,0.6534090909090909
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,1000,0.95,0.792020054783682,304,1.0864544541814394,0.6414473684210527
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,2000,0.95,0.792020054783682,274,1.15672308482154,0.6970802919708029
20260907T221751Z_3abdfd02,NEW12,ETH,gap_localTrade,5000,0.95,0.792020054783682,232,1.1857497795328888,0.6810344827586207
